Unique Name,Name Variations,#Paper,Country,Type,,
BUPT,BEIJING UNIVERSITY OF POSTS TELECOMMUNICATIONS,262,China,Organization,,
CAPES,CAPES,42,Brazil,Funding,,
CAS,CHINESE ACADEMY OF SCIENCE,500,China,Organization,,
CMU,CARNEGIE MELLON UNIVERSITY,542,US,Organization,,
CNPQ,CNPQ;THE NATIONAL COUNCIL FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT,56,Brazil,Funding,,
CNRS,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1298,France,Organization,,
CONACYT,CONACYT,38,Mexico,Funding,,
CPSF,CHINA POSTDOCTORAL SCIENCE FOUNDATION,64,China,Funding,,
DARPA,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,73,US,Funding,,
DoD,UNITED STATES DEPARTMENT OF DEFENSE,319,US,Organization,,
EPSRC,ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL,411,UK,Funding,,
EU,EUROPEAN UNION,539,Europe,Funding,,
EC,EUROPEAN COMMISSION,335,Europe,Funding,,
ECommunity,EUROPEAN COMMUNITY,97,Europe,Funding,,
FAPESP,SÌO PAULO RESEARCH FOUNDATION,27,Brazil,Funding,,
FRF,FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES,264,China,Funding,,
Helmholtz,HELMHOLTZ ASSOCIATION,402,Germany,Organization,,
IAU,ISLAMIC AZAD UNIVERSITY,175,UAE,Organization,,
IIT,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYSTEM; INDIANA INSTITUTE OF TECHNOLOGY SYSTEM,280,India,Organization,,
INRIA,INRIA,117,France,Organization,,
JSPS,JSPS KAKENHI,37,Japan,Funding,,
MICINN,SPANISH MINISTRY OF SCIENCE AND INNOVATION,34,SPANISH,Funding,,
MIT,MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT,480,US,Organization,,
MSTT,MINISTRY OF SCIENCE AND TECHNOLOGY TAIWAN,40,China,Funding,,
NIH,NIH;NATIONAL INSTITUTES OF HEALTH ,214,US,Funding,,
NSF,NATIONAL SCIENCE FOUNDATION;NSF,1350,US,Funding,,
NSFC,NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA;         NATIONAL SCIENCE FOUNDATION OF CHINA,1890,China,Funding,,
NSFK,BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF EDUCATION,56,Korea,Funding,,
ONR,OFFICE OF NAVAL RESEARCH;ONR,151,US,Funding,,
PolyU,HONG KONG POLYTECHNIC UNIVERSITY,132,China,Organization,,
PSHE,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE,140,US,Organization,,
S.Anna,SCUOLA SUPERIORE SANT ANNA,313,Italy,Organization,,
Saclay,UNIVERSITY PARIS SACLAY COMUE,145,France,Organization,,
SNSF,SWISS NATIONAL SCIENCE FOUNDATION,69,SWISS,Funding,,
SUSF,STATE UNIVERSITY SYSTEM OF FLORIDA,149,US,Organization,,
UCA,UNIVERSITE COTE D AZUR COMUE,1214,France,Organization,,
UCSystem,UNIVERSITY OF CALIFORNIA SYSTEM,1050,US,Organization,,
Ulondon,UNIVERSITY OF LONDON,159,UK,Organization,,
USG,UNIVERSITY SYSTEM OF GEORGIA,504,US,Organization,,
Utsinghua,TSINGHUA UNIVERSITY,138,China,Organization,,
UTSystem,UNIVERSITY OF TEXAS SYSTEM,316,US,Organization,,